культура,имя_бога,функция,атрибуты,символ
греческая,Зевс,громовержец,"молния, орел, дуб",⚡
скандинавская,Тор,громовержец,"молот Мьёльнир, пояс силы",🔨
славянская,Перун,громовержец,"секира, дуб, громовой знак",⛈️
греческая,Афродита,богиня любви,"пояс, яблоко, голубь",❤️
скандинавская,Фрейя,богиня любви,"ожерелье Брисингамен, сокол",💖
славянская,Лада,богиня любви,"венок, лебедь, кольцо",🌸
греческая,Аид,покровитель мёртвых,"шлем тьмы, Цербер",💀
скандинавская,Хель,покровитель мёртвых,"трон из черепов, собака Гарм",🌑
славянская,Марена,покровитель мёртвых,"серп, черная луна",❄️
скандинавская,Один,бог мудрости,"копье Гунгнир, вороны",👁️
славянская,Велес,бог мудрости,"рог, медведь, гусли",🐻
греческая,Гермес,бог мудрости,"кадуцей, крылатые сандалии",📜
скандинавская,Норны,божество судьбы,"нить судьбы, источник",🧵
славянская,Макошь,божество судьбы,"веретено, нить",🧶
греческая,Аполлон,бог солнца,"лира, лук, лавровый венок",☀️
славянская,Даждьбог,бог солнца,"солнечный диск, колесница",🌞
скандинавская,Соль,бог солнца,солнечная колесница,🌅
