культура,имя_бога,функция,атрибуты,символ
греческая,Зевс,"верховный бог древнегреческого пантеона, бог грома и молний.",Спарсено из Википедии,🏛️
греческая,Гера,"жена Зевса, покровительница брака, семейной любви.",Спарсено из Википедии,🏛️
греческая,Посейдон,бог морской стихии и брат Зевса.,Спарсено из Википедии,🏛️
греческая,Аид,владыка Царства Мёртвых и брат Зевса.,Спарсено из Википедии,🏛️
греческая,Деметра,богиня плодородия и земледелия.,Спарсено из Википедии,🏛️
греческая,Гестия,богиня домашнего очага.,Спарсено из Википедии,🏛️
греческая,Афина,"богиня мудрости, справедливости, наук и ремёсел, а также военного дела. Покровительница городов и мудрости, дочь Зевса.",Спарсено из Википедии,🏛️
греческая,Персефона,"богиня весны, правительница Царства Мёртвых, жена Аида.",Спарсено из Википедии,🏛️
греческая,Афродита,богиня любви и красоты.,Спарсено из Википедии,🏛️
греческая,Гефест,бог огня и кузнечного ремесла.,Спарсено из Википедии,🏛️
греческая,Гермес,"бог торговли, хитрости, скорости и воровства, а также красноречия. Покровитель странствующих.",Спарсено из Википедии,🏛️
греческая,Аполлон,"бог света, покровитель искусств. Также бог-врачеватель и покровитель оракулов.",Спарсено из Википедии,🏛️
греческая,Арес,бог войны.,Спарсено из Википедии,🏛️
греческая,Артемида,"богиня охоты, покровительница всего живого на Земле, дочь Зевса.",Спарсено из Википедии,🏛️
греческая,Дионис,бог виноделия и веселья (в списке 12 олимпийцев вытеснил Гестию).,Спарсено из Википедии,🏛️
скандинавская,Андхримнир,"повар эйнхериев , готовит мясо вепря Сехримнира .",Спарсено из Википедии,⚔️
скандинавская,Бор,"сын Бури, отец Одина и братьев его.",Спарсено из Википедии,⚔️
скандинавская,Браги,"бог поэзии и красноречия, скальд, супруг богини Идун .",Спарсено из Википедии,⚔️
скандинавская,Бури,"предок асов, дед Одина.",Спарсено из Википедии,⚔️
скандинавская,Вали,"сын Одина, выросший и превратившийся в богатыря за сутки, ему суждено пережить Рагнарёк .",Спарсено из Википедии,⚔️
скандинавская,Вар,"богиня истины, выслушивает и записывает клятвы людей, мстит нарушителям клятв и обещаний.",Спарсено из Википедии,⚔️
скандинавская,Ве,"сын Бора, брат Одина.",Спарсено из Википедии,⚔️
скандинавская,Вёр,богиня всеведения. Она очень мудра и ничто не может укрыться от её проницательности и интуиции.,Спарсено из Википедии,⚔️
скандинавская,Видар,"сын Одина, бог молчания, во время Рагнарёка ему предстоит убить волка Фенрира .",Спарсено из Википедии,⚔️
скандинавская,Вили,"сын Бора, брат Одина.",Спарсено из Википедии,⚔️
скандинавская,Глин,"богиня, защищающая людей от физической опасности. Спутница Фригг.",Спарсено из Википедии,⚔️
скандинавская,Гна,богиня трансформации. Поднимает осознание на головокружительные высоты. Спутница Фригг.,Спарсено из Википедии,⚔️
скандинавская,Гефьён,богиня добродетели. Известна как «благосклонная» или «дарящая». В дар от неё можно получить телесный или духовный талант. Получив в награду от Гюльфи...,Спарсено из Википедии,⚔️
скандинавская,Ёрд,"богиня земли, мать Тора.",Спарсено из Википедии,⚔️
скандинавская,Идун,"богиня вечной юности, хранительница «молодильных яблок», жена бога Браги .",Спарсено из Википедии,⚔️
скандинавская,Лефн,освящает браки между людьми.,Спарсено из Википедии,⚔️
скандинавская,Локи,"бог озорства и обмана. Не ас, но живёт в Асгарде, был принят асами за его необыкновенный ум и хитрость.",Спарсено из Википедии,⚔️
скандинавская,Магни,"сын Тора и великанши Ярнсаксы, вырос за три дня и спас своего отца, которого придавило поверженным врагом.",Спарсено из Википедии,⚔️
скандинавская,Нанна,супруга Бальдра.,Спарсено из Википедии,⚔️
скандинавская,Один,"отец асов и мудрейший из них, изобретатель поэзии и магии, бог грома и молнии, верховный бог, царь асов, хозяин Валгаллы .",Спарсено из Википедии,⚔️
скандинавская,Сага,прислуживает Фригг и выполняет её поручения.,Спарсено из Википедии,⚔️
скандинавская,Сигюн,супруга Локи.,Спарсено из Википедии,⚔️
скандинавская,Син,охраняет их людские дома от воров.,Спарсено из Википедии,⚔️
скандинавская,Сиф,"богиня плодородия, жена Тора.",Спарсено из Википедии,⚔️
скандинавская,Снотра,богиня разума,Спарсено из Википедии,⚔️
скандинавская,Сьёфн,"богиня любви и дружбы. К ней взывают, когда хотят обратить на себя внимание любимого или любимой.",Спарсено из Википедии,⚔️
скандинавская,Риг,отец людей.,Спарсено из Википедии,⚔️
скандинавская,Тор,"бог грома, своим молотом повергающий великанов — врагов асов и других чудовищ, покровитель кузнецов, защитник Мидгарда .",Спарсено из Википедии,⚔️
скандинавская,Тюр,"бог войны , хранитель воинских традиций, покровитель военных собраний и поединков, сын Одина; у него только левая рука, ибо правую он пожертвовал...",Спарсено из Википедии,⚔️
скандинавская,Улль,"пасынок Тора, бог-покровитель лыжников и стрелков из лука.",Спарсено из Википедии,⚔️
скандинавская,Форсети,"сын Бальдра и Нанны , бог, председатель тинга , разрешающий споры асов.",Спарсено из Википедии,⚔️
скандинавская,Фригг,"жена Одина, заступница людей.",Спарсено из Википедии,⚔️
скандинавская,Фрейа,"богиня любви, научила асов магии, сама из рода ванов.",Спарсено из Википедии,⚔️
скандинавская,Фулла,верная служительница Фригг. Она всегда помогает богиням справиться с трудной работой.,Спарсено из Википедии,⚔️
скандинавская,Хёд,"сын Одина, слепой ас, бог зимы, убийца Бальдра .",Спарсено из Википедии,⚔️
